,FIPS_x,Admin2,State,UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long_,Cases,Deaths
0,01001,Autauga,AL,84001001,US,USA,840,Alabama,US,32.53952745,-86.64408227,2661,39
1,01003,Baldwin,AL,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,8376,84
2,01003,Baldwin,AL,84013009,US,USA,840,Georgia,US,33.06882326,-83.24701748,2617,69
3,13009,Baldwin,GA,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,8376,84
4,13009,Baldwin,GA,84013009,US,USA,840,Georgia,US,33.06882326,-83.24701748,2617,69
5,01005,Barbour,AL,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,1167,10
6,01005,Barbour,AL,84054001,US,USA,840,West Virginia,US,39.1307219,-80.00350858,357,4
7,54001,Barbour,WV,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,1167,10
8,54001,Barbour,WV,84054001,US,USA,840,West Virginia,US,39.1307219,-80.00350858,357,4
9,01007,Bibb,AL,84001007,US,USA,840,Alabama,US,32.99642064,-87.12511459999996,1157,17
10,01007,Bibb,AL,84013021,US,USA,840,Georgia,US,32.80904227,-83.70489165,7466,230
11,13021,Bibb,GA,84001007,US,USA,840,Alabama,US,32.99642064,-87.12511459999996,1157,17
12,13021,Bibb,GA,84013021,US,USA,840,Georgia,US,32.80904227,-83.70489165,7466,230
13,01009,Blount,AL,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,2822,36
14,01009,Blount,AL,84047009,US,USA,840,Tennessee,US,35.68938198,-83.92847788,5180,56
15,47009,Blount,TN,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,2822,36
16,47009,Blount,TN,84047009,US,USA,840,Tennessee,US,35.68938198,-83.92847788,5180,56
17,01011,Bullock,AL,84001011,US,USA,840,Alabama,US,32.10030533,-85.71265535,690,19
18,01013,Butler,AL,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,1143,41
19,01013,Butler,AL,84019023,US,USA,840,Iowa,US,42.73172833,-92.79015971,937,4
20,01013,Butler,AL,84020015,US,USA,840,Kansas,US,37.78134351,-96.83878537,3011,8
21,01013,Butler,AL,84021031,US,USA,840,Kentucky,US,37.20946153,-86.68748787,514,16
22,01013,Butler,AL,84029023,US,USA,840,Missouri,US,36.71462476,-90.40421163,2009,8
23,01013,Butler,AL,84031023,US,USA,840,Nebraska,US,41.22703692,-97.13106306,509,4
24,01013,Butler,AL,84039017,US,USA,840,Ohio,US,39.44012838,-84.57388716,14769,144
25,01013,Butler,AL,84042019,US,USA,840,Pennsylvania,US,40.91152759,-79.91351055,3813,57
26,19023,Butler,IA,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,1143,41
27,19023,Butler,IA,84019023,US,USA,840,Iowa,US,42.73172833,-92.79015971,937,4
28,19023,Butler,IA,84020015,US,USA,840,Kansas,US,37.78134351,-96.83878537,3011,8
29,19023,Butler,IA,84021031,US,USA,840,Kentucky,US,37.20946153,-86.68748787,514,16
30,19023,Butler,IA,84029023,US,USA,840,Missouri,US,36.71462476,-90.40421163,2009,8
31,19023,Butler,IA,84031023,US,USA,840,Nebraska,US,41.22703692,-97.13106306,509,4
