,FIPS,Admin2,State,UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long_,Cases,Deaths,pop_stay_at_home,pop_not_stay_at_home,trips,TempMedian,TempMean,PrcpMedian,PrcpMean,geo_id,population,pop_density
0,01003,Baldwin,AL,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,10288,141,38163.8371040724,179491.5113122172,700043.7948717949,272.0,258.72744360902254,0.0,47.46052631578947,01003,218022,137.13854588
1,01005,Barbour,AL,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,1258,30,3868.369532428356,20970.790346907994,88731.27300150829,250.0,246.22196796338676,0.0,49.02517162471396,01005,24881,28.114059594
2,01009,Blount,AL,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,3600,47,7981.233785822021,49761.32277526395,206437.88838612367,233.0,223.99699699699696,0.0,52.12912912912913,01009,57840,89.697955279
3,01011,Bullock,AL,84001011,US,USA,840,Alabama,US,32.10030533,-85.71265535,722,20,1243.179487179487,8877.754147812971,37106.23981900453,278.0,265.7190082644628,0.0,43.98347107438016,01011,10138,16.277951234
4,01013,Butler,AL,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,1287,42,2925.6802413273003,16721.288084464555,71811.40573152338,239.0,243.0593607305936,0.0,47.85388127853882,01013,19680,25.333449178000002
5,01015,Calhoun,AL,84001015,US,USA,840,Alabama,US,33.77483727,-85.82630386,7534,127,21245.229260935143,92839.63650075415,412437.7978883861,258.5,246.1134969325153,0.0,43.01533742331289,01015,114277,188.61714004
6,01017,Chambers,AL,84001017,US,USA,840,Alabama,US,32.91360079,-85.39072749,1977,55,6444.811463046757,27113.48416289593,115495.802413273,272.0,251.9197080291971,0.0,57.05839416058394,01017,33615,56.347975948
7,01019,Cherokee,AL,84001019,US,USA,840,Alabama,US,34.17805983,-85.60638968,1149,24,3818.4856711915536,22169.47209653092,86133.83559577678,244.0,237.9940476190476,0.0,53.23809523809525,01019,26032,47.029485799
8,01021,Chilton,AL,84001021,US,USA,840,Alabama,US,32.85044126,-86.7173256,2507,47,6789.5475113122175,37289.13122171946,167253.4705882353,267.0,251.97231450719826,0.0,55.090808416389805,01021,44153,63.726498241
9,01025,Clarke,AL,84001025,US,USA,840,Alabama,US,31.68099859,-87.83548597,1755,23,3593.870286576169,20285.941176470587,82129.59426847662,268.0,254.9148264984227,0.0,45.04574132492114,01025,23920,19.314926487
