,State,Cases,Deaths,state_code,pop_stay_at_home,pop_not_stay_at_home,trips,TempMedian,TempMean,PrcpMedian,PrcpMean,state,population,pop_density
0,AK,51831,254,AK,186395.77526395174,549800.233785822,2842729.826546003,61.0,41.079323901473614,0,24.46024444385013,AK,737438,1.2915230609000001
1,AL,430059,6425,AL,870977.898944193,4008669.8657616894,16530993.62745098,256.0,243.582908121276,0,50.48461006682689,AL,4887871,96.50938865
2,AR,281057,4619,AR,547685.7767722474,2461069.411764706,10208090.849170437,233.0,222.17161101096818,0,45.11536463902721,AR,3013825,57.919684465
3,AZ,732643,12239,AZ,1594626.156862745,5564952.271493212,24150707.52337858,251.0,252.18640104751216,0,6.391203703703702,AZ,7171646,63.135855048
4,CA,3235045,37543,CA,8866433.853695324,30624047.368024133,138817718.88536954,228.0,231.41580126449944,0,8.294737890177728,CA,39557045,253.9065023
5,CO,385250,5443,CO,1340697.809954751,4345282.600301659,23802625.205128204,161.0,153.5630176046401,0,10.97047403096626,CO,5695564,54.955977559
6,CT,244084,6902,CT,779794.1674208145,2786859.0678733033,13040722.288084464,178.0,171.98469311933422,0,27.994947243275377,CT,3572665,737.74459965
7,DE,75316,1049,DE,203399.41930618402,762143.6696832579,3361773.2699849172,200.0,196.00409836065572,0,35.27868852459017,DE,967171,496.43246050000005
8,FL,1624544,24754,FL,4051749.027149321,17211734.95475113,71789156.09351432,300.0,289.64761883019037,0,43.885370531025984,FL,21299325,397.01575445
9,GA,797504,12267,GA,2051214.4087481147,8450560.018099548,36350651.058823526,256.0,244.46228507034058,0,45.22276345923152,GA,10519475,182.26478911
10,HI,25272,339,HI,328698.76319758676,1089402.395173454,4713265.98944193,289.0,269.4029176797499,0,31.260854463355326,HI,1420491,221.17691552
11,IA,312255,4433,IA,668647.1282051282,2482186.378582202,11997742.650075415,167.0,159.41528410960188,0,21.29094797198853,IA,3156145,56.507023548999996
12,ID,160592,1681,ID,374755.3604826546,1376501.2594268476,6272767.374057315,133.0,138.32460956148128,0,17.852690445338606,ID,1754208,21.225798536
13,IL,996209,18775,IL,2923139.31372549,9796499.2760181,50485042.17797888,183.0,175.77931629133698,0,29.319537431527692,IL,12741080,229.51115613
14,IN,572385,8680,IN,1397362.5007541478,5283256.102564103,25067312.521870285,189.0,180.56320767743716,0,29.57425434962717,IN,6691878,186.78751987
