,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Cases,Deaths
0,84001001,US,USA,840,1001.0,Autauga,Alabama,US,32.53952745,-86.64408227,2661,39
1,84001003,US,USA,840,1003.0,Baldwin,Alabama,US,30.72774991,-87.72207058,8376,84
2,84001005,US,USA,840,1005.0,Barbour,Alabama,US,31.868263,-85.3871286,1167,10
3,84001007,US,USA,840,1007.0,Bibb,Alabama,US,32.99642064,-87.12511459999996,1157,17
4,84001009,US,USA,840,1009.0,Blount,Alabama,US,33.98210918,-86.56790593,2822,36
5,84001011,US,USA,840,1011.0,Bullock,Alabama,US,32.10030533,-85.71265535,690,19
6,84001013,US,USA,840,1013.0,Butler,Alabama,US,31.75300095,-86.68057478,1143,41
7,84001015,US,USA,840,1015.0,Calhoun,Alabama,US,33.77483727,-85.82630386,6049,113
8,84001017,US,USA,840,1017.0,Chambers,Alabama,US,32.91360079,-85.39072749,1714,48
9,84001019,US,USA,840,1019.0,Cherokee,Alabama,US,34.17805983,-85.60638968,996,24
10,84001021,US,USA,840,1021.0,Chilton,Alabama,US,32.85044126,-86.7173256,2185,37
11,84001023,US,USA,840,1023.0,Choctaw,Alabama,US,32.02227341,-88.26564429999998,418,13
12,84001025,US,USA,840,1025.0,Clarke,Alabama,US,31.68099859,-87.83548597,1553,19
13,84001027,US,USA,840,1027.0,Clay,Alabama,US,33.26984193,-85.85836077,896,23
14,84001029,US,USA,840,1029.0,Cleburne,Alabama,US,33.67679204,-85.52005899,756,14
15,84001031,US,USA,840,1031.0,Coffee,Alabama,US,31.39932826,-85.98901039,2366,15
16,84001033,US,USA,840,1033.0,Colbert,Alabama,US,34.69847452,-87.80168544,2976,41
17,84001035,US,USA,840,1035.0,Conecuh,Alabama,US,31.43401703,-86.99320044,682,14
18,84001037,US,USA,840,1037.0,Coosa,Alabama,US,32.93690146,-86.24847739,314,4
19,84001039,US,USA,840,1039.0,Covington,Alabama,US,31.247785399999998,-86.45050893,2159,33
20,84001041,US,USA,840,1041.0,Crenshaw,Alabama,US,31.72941803,-86.31593104,703,30
21,84001043,US,USA,840,1043.0,Cullman,Alabama,US,34.13020303,-86.86888037,4211,36
22,84001045,US,USA,840,1045.0,Dale,Alabama,US,31.43037123,-85.61095742,2284,54
23,84001047,US,USA,840,1047.0,Dallas,Alabama,US,32.32688101,-87.10866709999998,2223,31
24,84001049,US,USA,840,1049.0,DeKalb,Alabama,US,34.45946862,-85.80782906,4696,35
25,84001051,US,USA,840,1051.0,Elmore,Alabama,US,32.59785413,-86.14415284,3989,61
26,84001053,US,USA,840,1053.0,Escambia,Alabama,US,31.1256789,-87.15918694,1969,31
27,84001055,US,USA,840,1055.0,Etowah,Alabama,US,34.04567266,-86.04051873,6005,64
28,84001057,US,USA,840,1057.0,Fayette,Alabama,US,33.72076938,-87.73886638,862,16
