,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12809,457,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,79.8,57395.0,57372.0,96.7,48050.0,91.6,10950.0,96.6,97.6,37,49661.0,83.7,16.0,41803,79.7,16.0,9940,87.7,16.0,69.1,16.0,49670,D
71,Cochise,AZ,4003,13615,308,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,59.6,74992.0,74986.0,69.4,70581.0,71.3,23510.0,80.7,97.6,37,65122.0,60.2,16.0,61581,62.2,16.0,20832,71.5,16.0,51.7,16.0,65125,D
72,Coconino,AZ,4005,20565,342,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,75.1,107795.0,107776.0,86.5,98797.0,86.1,22556.0,99.9,97.6,37,94580.0,75.9,12.0,87031,75.9,12.0,20193,99.9,12.0,65.9,12.0,94588,C
73,Gila,AZ,4007,8645,250,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,58.2,31421.0,31416.0,67.0,29902.0,69.0,12055.0,76.0,97.6,37,26860.0,57.3,16.0,25727,59.3,16.0,10670,67.2,15.0,49.7,15.0,26862,D
74,Graham,AZ,4009,6658,97,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,58.8,22830.0,22826.0,71.5,21229.0,74.5,5448.0,99.9,97.6,37,19683.0,61.6,16.0,18557,65.1,16.0,5007,92.0,16.0,50.7,16.0,19684,D
75,Greenlee,AZ,4011,833,14,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,40.8,3871.0,3871.0,49.9,3703.0,53.4,947.0,73.0,97.6,37,3238.0,41.8,11.0,3167,45.7,11.0,865,66.7,11.0,34.1,10.0,3238,C
76,La Paz,AZ,4012,2816,85,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,46.7,9859.0,9857.0,52.4,9384.0,53.3,4957.0,59.1,97.6,37,8327.0,44.3,15.0,7984,45.4,15.0,4472,53.3,15.0,39.5,14.0,8328,D
77,Maricopa,AZ,4013,668223,11016,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,54.7,2452488.0,2452189.0,64.6,2282669.0,66.5,608733.0,87.4,97.6,37,2093076.0,55.1,12.0,1956418,57.0,12.0,525227,75.4,12.0,46.7,11.0,2093132,C
78,Mohave,AZ,4015,29757,874,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,42.1,89236.0,89229.0,47.1,86981.0,49.2,43717.0,66.3,97.6,37,72771.0,38.4,14.0,71254,40.3,15.0,36810,55.8,15.0,34.3,14.0,72774,D
79,Navajo,AZ,4017,19053,580,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,68.6,76064.0,76049.0,82.8,66450.0,81.2,19824.0,95.2,97.6,37,65231.0,71.0,16.0,57362,70.1,16.0,17419,83.6,16.0,58.8,16.0,65234,D
