,admin2,state,fips,cases,deaths,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12955,463,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,80.7,57997.0,57974.0,97.7,48580.0,92.6,11064.0,97.6,97.6,38,50414.0,84.9,16.0,42378,80.8,16.0,10042,88.6,16.0,70.1,16.0,50425,D
71,Cochise,AZ,4003,13953,316,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,60.3,75938.0,75932.0,70.2,71426.0,72.2,23590.0,81.0,97.6,38,65819.0,60.9,16.0,62158,62.8,16.0,20924,71.9,16.0,52.3,16.0,65822,D
72,Coconino,AZ,4005,20936,346,189.0,187.2265683445549,0.0,6.826974457625308,142854,7.6726192992,75.6,108514.0,108494.0,87.1,99396.0,86.6,22604.0,99.9,97.6,38,95330.0,76.5,12.0,87633,76.4,12.0,20259,99.9,12.0,66.4,12.0,95338,C
73,Gila,AZ,4007,8855,252,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,58.7,31729.0,31724.0,67.7,30156.0,69.5,12099.0,76.2,97.6,38,27197.0,58.0,16.0,25992,59.9,16.0,10703,67.4,15.0,50.4,16.0,27199,D
74,Graham,AZ,4009,6857,98,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,59.7,23182.0,23178.0,72.6,21530.0,75.6,5477.0,99.9,97.6,38,20080.0,62.9,16.0,18866,66.2,16.0,5051,92.8,16.0,51.7,16.0,20081,D
75,Greenlee,AZ,4011,887,15,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,41.5,3939.0,3939.0,50.8,3755.0,54.2,949.0,73.2,97.6,38,3313.0,42.7,11.0,3218,46.4,11.0,867,66.8,11.0,34.9,10.0,3313,C
76,La Paz,AZ,4012,2930,86,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,47.4,10000.0,9998.0,53.2,9481.0,53.9,4985.0,59.4,97.6,38,8415.0,44.7,15.0,8061,45.8,15.0,4496,53.6,15.0,39.9,14.0,8416,D
77,Maricopa,AZ,4013,680491,11254,328.0,312.9344885883347,0.0,4.262468300929839,4410824,479.47643039999997,55.3,2479507.0,2479199.0,65.3,2305220.0,67.1,610513.0,87.7,97.6,38,2123298.0,55.9,12.0,1981569,57.7,12.0,527562,75.8,12.0,47.3,11.0,2123355,C
78,Mohave,AZ,4015,30534,903,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,42.5,90138.0,90131.0,47.6,87798.0,49.7,43907.0,66.6,97.6,38,73987.0,39.1,14.0,72363,40.9,15.0,37068,56.2,15.0,34.9,14.0,73990,D
79,Navajo,AZ,4017,19386,588,206.0,199.9621791985592,0.0,7.191355245384963,110445,11.100123355,69.4,76976.0,76961.0,83.8,67146.0,82.1,19937.0,95.7,97.6,38,66310.0,72.2,16.0,58112,71.0,16.0,17562,84.3,16.0,59.8,16.0,66313,D
80,Pima,AZ,4019,133119,2589,275.0,280.7026608111599,0.0,5.170240247997934,1039073,113.09979314,65.4,684761.0,684408.0,75.6,639505.0,76.9,203085.0,95.5,97.6,38,598776.0,66.1,16.0,561902,67.5,16.0,183119,86.2,16.0,57.2,16.0,599002,D
81,Pinal,AZ,4021,67387,982,300.0,295.7289048473968,0.0,3.260771992818672,447138,83.330493702,50.5,233884.0,233852.0,59.0,219538.0,60.9,76330.0,79.0,97.6,38,202447.0,51.1,16.0,191091,53.0,16.0,67493,69.9,15.0,43.7,15.0,202458,D
82,Santa Cruz,AZ,4023,8712,190,278.0,267.409756097561,0.0,7.858536585365852,46511,37.602208146,97.3,45241.0,45236.0,99.9,40351.0,99.9,9442.0,99.9,97.6,38,40815.0,99.9,16.0,36730,99.9,16.0,8798,99.9,16.0,87.8,16.0,40816,D
83,Yavapai,AZ,4025,25475,617,256.0,250.20664324496963,0.0,5.737783455764933,231993,28.558217746,48.7,114522.0,114503.0,54.2,111194.0,56.3,56727.0,74.2,97.6,38,91856.0,43.5,11.0,89322,45.2,11.0,47033,61.5,11.0,39.1,10.0,91861,C
84,Yuma,AZ,4027,40386,885,333.0,324.7910447761194,0.0,2.725373134328358,212128,38.470979394000004,64.5,137937.0,137886.0,77.5,125892.0,78.6,32441.0,78.5,97.6,38,119089.0,67.0,16.0,109876,68.6,16.0,29021,70.3,16.0,55.7,16.0,119106,D
