,county,county_fips,date,level,month,pop_not_stay_at_home,pop_stay_at_home,row_id,state_code,state_fips,trips,trips_1,trips_100_250,trips_10_25,trips_1_3,trips_250_500,trips_25_50,trips_3_5,trips_500,trips_50_100,trips_5_10,week
0,Weston County,56045,2021-06-06T00:00:00.000,County,6,5659.0,1268.0,56-56045-20210606,WY,56,22471.0,4160.0,1160.0,5723.0,2601.0,166.0,2202.0,948.0,23.0,3930.0,1558.0,23
1,Bradley County,05011,2021-06-06T00:00:00.000,County,6,8983.0,1780.0,05-05011-20210606,AR,05,25022.0,3411.0,690.0,3343.0,4145.0,35.0,1793.0,5901.0,0.0,1383.0,4321.0,23
2,Calhoun County,05013,2021-06-06T00:00:00.000,County,6,4618.0,571.0,05-05013-20210606,AR,05,17543.0,2166.0,425.0,4277.0,2168.0,41.0,1141.0,3195.0,0.0,530.0,3600.0,23
3,Carroll County,05015,2021-06-06T00:00:00.000,County,6,23994.0,4386.0,05-05015-20210606,AR,05,77047.0,14712.0,1323.0,14712.0,16029.0,132.0,4272.0,11434.0,36.0,1227.0,13170.0,23
4,Chicot County,05017,2021-06-06T00:00:00.000,County,6,8762.0,1356.0,05-05017-20210606,AR,05,31550.0,9483.0,957.0,3857.0,6752.0,61.0,1380.0,4547.0,4.0,580.0,3929.0,23
5,Clark County,05019,2021-06-06T00:00:00.000,County,6,18806.0,3514.0,05-05019-20210606,AR,05,64516.0,14055.0,842.0,10838.0,15048.0,179.0,4729.0,6873.0,19.0,2372.0,9561.0,23
6,Clay County,05021,2021-06-06T00:00:00.000,County,6,12367.0,2184.0,05-05021-20210606,AR,05,32194.0,4445.0,948.0,6621.0,9931.0,59.0,2690.0,2659.0,15.0,1117.0,3709.0,23
7,Cleburne County,05023,2021-06-06T00:00:00.000,County,6,20291.0,4628.0,05-05023-20210606,AR,05,60136.0,10340.0,996.0,7435.0,18203.0,224.0,3046.0,7859.0,70.0,1417.0,10546.0,23
8,Cleveland County,05025,2021-06-06T00:00:00.000,County,6,6866.0,1090.0,05-05025-20210606,AR,05,22816.0,3332.0,336.0,4043.0,5261.0,95.0,656.0,2523.0,13.0,656.0,5901.0,23
9,Columbia County,05027,2021-06-06T00:00:00.000,County,6,19437.0,4020.0,05-05027-20210606,AR,05,63114.0,15143.0,1961.0,8594.0,16861.0,135.0,3089.0,6245.0,14.0,1879.0,9193.0,23
10,Conway County,05029,2021-06-06T00:00:00.000,County,6,17828.0,3018.0,05-05029-20210606,AR,05,60373.0,11205.0,825.0,8755.0,16399.0,98.0,4475.0,6278.0,5.0,1703.0,10630.0,23
11,Craighead County,05031,2021-06-06T00:00:00.000,County,6,87832.0,22500.0,05-05031-20210606,AR,05,264839.0,64114.0,4538.0,28759.0,66346.0,999.0,10092.0,35037.0,180.0,6621.0,48153.0,23
