,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,date,fips,metro_status,mmwr_week,recip_county,recip_state,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_12pluspop_pct_ur_equity,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_18pluspop_pct_ur_equity,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_65pluspop_pct_ur_equity,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,series_complete_yes,svi_ctgy
3282,48.2,18312,18303,54.9,17483,56.7,6843,80,98.7,2021-09-22T00:00:00.000,12027,Non-metro,38,DeSoto County,FL,14117,42.3,15,7,13558,43.9,15,7,5817,68,15,7,37.2,14,6,14119,D
3283,35,2872,2872,40.6,2700,41.8,967,52.9,98.3,2021-09-22T00:00:00.000,28019,Non-metro,38,Choctaw County,MS,2471,34.9,14,6,2333,36.1,14,6,914,50,15,7,30.1,14,6,2471,D
3284,42.4,7649,7649,48.9,7468,52.1,2950,79.1,94.4,2021-09-22T00:00:00.000,26079,Non-metro,38,Kalkaska County,MI,7479,47.8,11,7,7211,50.3,12,8,2914,78.2,12,8,41.5,11,7,7479,C
3285,0,0,0,0.0,0,0,0,0,0,2021-09-22T00:00:00.000,48221,Metro,38,Hood County,TX,0,0.0,,,0,0,,,0,0,,,0,,,0,B
3286,56.2,83382,83380,67.8,77216,70.4,18079,91.7,93.7,2021-09-22T00:00:00.000,40017,Metro,38,Canadian County,OK,70774,57.6,8,4,65889,60,8,4,15817,80.2,8,4,47.7,7,3,70774,B
3287,66.2,15088,15086,74.3,14759,78.6,6591,99.9,94.4,2021-09-22T00:00:00.000,26109,Non-metro,38,Menominee County,MI,14102,69.4,8,8,13744,73.2,8,8,6231,99.9,8,8,61.9,8,8,14102,B
3288,50.7,4763,4763,60.8,4476,64,1612,89.2,97.5,2021-09-22T00:00:00.000,19039,Non-metro,38,Clarke County,IA,4430,56.5,8,8,4194,60,8,8,1570,86.9,8,8,47.2,7,7,4430,B
3289,38.6,5611,5605,43.8,5331,45.1,1928,55.4,93.8,2021-09-22T00:00:00.000,45017,Metro,38,Calhoun County,SC,4702,36.7,10,2,4506,38.1,10,2,1738,49.9,10,2,32.3,10,2,4707,C
3290,52.5,20383,20380,62.4,19134,64.6,5732,82.4,84.6,2021-09-22T00:00:00.000,46013,Non-metro,38,Brown County,SD,18273,55.9,8,8,17393,58.7,8,8,5609,80.6,8,8,47.1,7,7,18276,B
3291,0,0,0,0.0,0,0,0,0,0,2021-09-22T00:00:00.000,48443,Non-metro,38,Terrell County,TX,0,0.0,,,0,0,,,0,0,,,0,,,0,B
3292,0,0,0,0.0,0,0,0,0,0,2021-09-22T00:00:00.000,48507,Non-metro,38,Zavala County,TX,0,0.0,,,0,0,,,0,0,,,0,,,0,D
3293,47.4,9226,9207,56.3,8673,59.2,2863,80.2,97.8,2021-09-22T00:00:00.000,17041,Non-metro,38,Douglas County,IL,7491,45.8,7,7,7086,48.3,7,7,2459,68.9,7,7,38.5,6,6,7499,B
3294,49,2651,2651,57.8,2545,60.9,1060,81.9,93.6,2021-09-22T00:00:00.000,20201,Non-metro,38,Washington County,KS,2433,53.1,4,8,2351,56.2,4,8,1024,79.1,4,8,45,3,7,2433,A
3295,0,0,0,0.0,0,0,0,0,0,2021-09-22T00:00:00.000,48331,Non-metro,38,Milam County,TX,0,0.0,,,0,0,,,0,0,,,0,,,0,D
3296,0,2983,2983,0.0,2737,0,698,0,85.5,2021-09-22T00:00:00.000,78020,,38,St. John Island,VI,2730,0.0,,,2523,0,,,668,0,,,0,,,2730,
3297,57,73696,73690,64.9,69900,66.7,22427,92.4,97.9,2021-09-22T00:00:00.000,47179,Metro,38,Washington County,TN,64969,57.2,8,4,62048,59.2,8,4,20748,85.5,8,4,50.2,8,4,64971,B
3298,42.7,1531,1531,49.4,1482,52.2,737,73.6,93.6,2021-09-22T00:00:00.000,20183,Non-metro,38,Smith County,KS,1425,46.0,3,7,1386,48.8,3,7,704,70.3,4,8,39.8,2,6,1425,A
3299,54.1,13869,13869,63.6,13096,66.5,4007,82,97.5,2021-09-22T00:00:00.000,19011,Metro,38,Benton County,IA,13010,59.6,4,4,12351,62.7,4,4,3926,80.4,4,4,50.7,4,4,13010,A
3300,57.4,7664,7664,64.5,7325,66.9,3201,90.6,97,2021-09-22T00:00:00.000,55099,Non-metro,38,Price County,WI,7220,60.8,4,8,6944,63.4,4,8,3112,88.1,4,8,54.1,4,8,7220,A
3301,60.2,396177,396003,71.0,371107,72.9,100968,94.1,92.4,2021-09-22T00:00:00.000,01073,Metro,38,Jefferson County,AL,314873,56.5,12,4,297399,58.5,12,4,89630,83.5,12,4,47.8,11,3,314894,C
3302,66.5,81354,81345,75.9,76859,77.6,23616,93.9,96.4,2021-09-22T00:00:00.000,23011,Non-metro,38,Kennebec County,ME,74356,69.3,8,8,70411,71.1,8,8,22126,88,8,8,60.8,8,8,74360,B
3303,40.1,1724,,,1724,48.6,881,68.6,97.6,2021-09-22T00:00:00.000,16003,Non-metro,38,Adams County,ID,,,,,1547,43.6,7,7,824,64.2,7,7,36,6,6,1547,B
3304,51.5,23927,23926,60.6,22753,63.4,8143,88,97.5,2021-09-22T00:00:00.000,19045,Non-metro,38,Clinton County,IA,22064,55.9,8,8,21073,58.7,8,8,7832,84.7,8,8,47.5,7,7,22064,B
3305,53,2331,2329,59.9,2235,62.1,1026,78.9,95.6,2021-09-22T00:00:00.000,30061,Non-metro,38,Mineral County,MT,2076,53.4,12,8,2000,55.6,12,8,942,72.5,12,8,47.2,11,7,2076,C
3306,42.6,22747,22739,48.2,21930,50.5,8390,67.8,97.9,2021-09-22T00:00:00.000,47145,Metro,38,Roane County,TN,19951,42.3,7,3,19329,44.5,7,3,7832,63.3,7,3,37.4,6,2,19952,B
3307,18.6,15449,,0.0,,0,,0,56.6,2021-09-22T00:00:00.000,13013,Metro,38,Barrow County,GA,14374,20.8,5,1,13072,21.1,5,1,3606,34,6,2,17.3,5,1,14374,B
3308,35.6,2356,2356,42.7,2268,45.7,719,64.8,56.6,2021-09-22T00:00:00.000,13065,Non-metro,38,Clinch County,GA,1936,35.1,14,6,1878,37.9,14,6,628,56.6,15,7,29.3,13,5,1936,D
3309,49.6,87721,87718,58.4,82486,60.6,25476,85.9,98.7,2021-09-22T00:00:00.000,39089,Metro,38,Licking County,OH,83660,55.7,4,4,79097,58.1,4,4,24726,83.4,4,4,47.3,3,3,83662,A
3310,50.9,23496,23495,59.7,22734,63.3,9470,93,94.3,2021-09-22T00:00:00.000,42087,Non-metro,38,Mifflin County,PA,21031,53.4,8,8,20416,56.9,8,8,8710,85.6,8,8,45.6,7,7,21031,B
