,fips,admin2,state,uid,iso2,iso3,code3,province_state,country_region,lat,long_,cases,deaths,county_fips,pop_stay_at_home,pop_not_stay_at_home,trips,name,tempmedian,tempmean,prcpmedian,prcpmean,geo_id,population,pop_density
0,01003,Baldwin,AL,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,27736,330,01003,38604.687234042554,184629.31276595744,714978.6787234043,Baldwin,267.0,254.40472027972027,0.0,45.972027972027966,01003,218022,137.13854588
1,01005,Barbour,AL,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,2649,63,01005,3896.4244680851066,20789.575531914892,88757.85638297872,Barbour,244.0,238.22774327122158,0.0,46.33126293995859,01005,24881,28.114059594
2,01009,Blount,AL,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,7631,140,01009,8205.870212765958,49620.129787234044,203582.86489361702,Blount,222.0,216.54945054945054,0.0,49.79395604395605,01009,57840,89.697955279
3,01011,Bullock,AL,84001011,US,USA,840,Alabama,US,32.10030533,-85.71265535,1281,41,01011,1246.534611288605,8854.465388711395,37798.434504792334,Bullock,267.0,255.34507042253517,0.0,40.77112676056338,01011,10138,16.277951234
4,01013,Butler,AL,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,2529,72,01013,2882.7212765957447,16565.278723404255,70961.27765957447,Butler,239.0,240.40789473684208,0.0,46.030701754385966,01013,19680,25.333449178000002
5,01015,Calhoun,AL,84001015,US,USA,840,Alabama,US,33.77483727,-85.82630386,15911,336,01015,21116.16489361702,92488.83510638298,407826.91170212766,Calhoun,244.0,239.58739255014328,0.0,41.72779369627507,01015,114277,188.61714004
6,01017,Chambers,AL,84001017,US,USA,840,Alabama,US,32.91360079,-85.39072749,4151,125,01017,6411.96170212766,26842.03829787234,113153.33510638298,Chambers,250.0,238.44109589041096,0.0,52.68767123287671,01017,33615,56.347975948
7,01019,Cherokee,AL,84001019,US,USA,840,Alabama,US,34.17805983,-85.60638968,2080,48,01019,3860.973404255319,22335.02659574468,86908.91914893617,Cherokee,236.0,231.48044692737432,0.0,52.98882681564246,01019,26032,47.029485799
8,01021,Chilton,AL,84001021,US,USA,840,Alabama,US,32.85044126,-86.7173256,4941,117,01021,6918.305319148936,37509.69468085106,163293.69680851063,Chilton,250.0,242.36354961832058,0.0,50.54770992366412,01021,44153,63.726498241
9,01025,Clarke,AL,84001025,US,USA,840,Alabama,US,31.68099859,-87.83548597,3862,63,01025,3579.405319148936,20042.594680851063,83808.66489361702,Clarke,261.0,249.0,0.0,44.200294550810014,01025,23920,19.314926487
10,01029,Cleburne,AL,84001029,US,USA,840,Alabama,US,33.67679204,-85.52005899,1647,45,01029,1688.3702127659574,13221.629787234042,61300.11489361702,Cleburne,233.0,228.20491803278688,0.0,50.73224043715847,01029,14987,26.757506743
11,01031,Coffee,AL,84001031,US,USA,840,Alabama,US,31.39932826,-85.98901039,6919,132,01031,8342.422340425532,43999.57765957447,178867.1425531915,Coffee,272.0,263.01214574898785,0.0,41.121457489878544,01031,51909,76.45075182
12,01033,Colbert,AL,84001033,US,USA,840,Alabama,US,34.69847452,-87.80168544,6960,142,01033,10761.146808510639,44479.85319148936,182006.03617021276,Colbert,233.0,228.73062730627305,0.0,50.40959409594096,01033,54762,92.387121174
