,fips,admin2,state,uid,iso2,iso3,code3,province_state,country_region,lat,long_,cases,deaths,county_fips,pop_stay_at_home,pop_not_stay_at_home,trips,name,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,date,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
0,1003,Baldwin,AL,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,25399,329,1003,38594.10441334768,184639.8955866523,715000.6533907426,Baldwin,267.0,254.40472027972027,0.0,45.972027972027966,218022,137.13854588,42.5,94915.0,94910.0,49.3,91924.0,52.3,38932.0,83.1,91.8,2021-08-02T00:00:00.000,31,70801.0,36.8,Low-Mod VC/Low SVI,69293,39.4,Low-Mod VC/Low SVI,31380,67.0,Mod-High VC/Low SVI,31.7,Low-Mod VC/Low SVI,70803,Low
1,1005,Barbour,AL,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,2509,61,1005,3895.419806243272,20790.58019375673,88793.93003229279,Barbour,244.0,238.22774327122158,0.0,46.33126293995859,24881,28.114059594,35.6,8792.0,8791.0,41.1,8661.0,44.2,3480.0,71.6,91.8,2021-08-02T00:00:00.000,31,6883.0,32.2,Low-Mod VC/High SVI,6806,34.7,Low-Mod VC/High SVI,3012,62.0,Mod-High VC/High SVI,27.9,Low VC/High SVI,6883,High
2,1009,Blount,AL,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,7362,139,1009,8187.951560818084,49638.04843918191,203784.23358449945,Blount,222.0,216.54945054945054,0.0,49.79395604395605,57840,89.697955279,25.0,14477.0,14473.0,29.4,14143.0,31.7,5743.0,53.1,91.8,2021-08-02T00:00:00.000,31,11258.0,22.9,Low VC/Low-Mod SVI,11093,24.9,Low VC/Low-Mod SVI,4786,44.3,Low-Mod VC/Low-Mod SVI,19.5,Low VC/Low-Mod SVI,11259,Low-Mod
3,1011,Bullock,AL,84001011,US,USA,840,Alabama,US,32.10030533,-85.71265535,1265,42,1011,1246.8954741379312,8854.104525862069,37795.566810344826,Bullock,267.0,255.34507042253517,0.0,40.771126760563384,10138,16.277951234,44.5,4496.0,4494.0,51.8,4346.0,54.4,1395.0,81.5,91.8,2021-08-02T00:00:00.000,31,3501.0,40.3,Mod-High VC/High SVI,3420,42.8,Mod-High VC/High SVI,1183,69.1,Mod-High VC/High SVI,34.7,Low-Mod VC/High SVI,3501,High
4,1013,Butler,AL,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,2408,72,1013,2881.258342303552,16566.741657696446,71073.55435952637,Butler,239.0,240.40789473684208,0.0,46.030701754385966,19680,25.333449178000002,35.5,6906.0,6906.0,41.4,6768.0,44.6,2792.0,69.0,91.8,2021-08-02T00:00:00.000,31,5197.0,31.2,Low-Mod VC/High SVI,5134,33.8,Low-Mod VC/High SVI,2225,55.0,Mod-High VC/High SVI,26.7,Low VC/High SVI,5197,High
5,1015,Calhoun,AL,84001015,US,USA,840,Alabama,US,33.77483727,-85.82630386,15401,334,1015,21113.418729817007,92491.58127018301,407992.9031216362,Calhoun,244.0,239.58739255014328,0.0,41.72779369627507,114277,188.61714004,38.6,43848.0,43847.0,44.9,42664.0,47.9,16267.0,79.2,91.8,2021-08-02T00:00:00.000,31,34985.0,35.8,Low-Mod VC/High SVI,34433,38.6,Low-Mod VC/High SVI,14061,68.4,Mod-High VC/High SVI,30.8,Low-Mod VC/High SVI,34985,High
6,1017,Chambers,AL,84001017,US,USA,840,Alabama,US,32.91360079,-85.39072749,3949,125,1017,6410.119483315393,26843.88051668461,113325.02152852528,Chambers,250.0,238.44109589041096,0.0,52.68767123287671,33615,56.347975948,26.2,8729.0,8729.0,30.5,8505.0,32.3,3420.0,50.9,91.8,2021-08-02T00:00:00.000,31,7042.0,24.6,Low VC/Mod-High SVI,6925,26.3,Low VC/Mod-High SVI,3005,44.8,Low-Mod VC/Mod-High SVI,21.2,Low VC/Mod-High SVI,7042,Mod-High
7,1019,Cherokee,AL,84001019,US,USA,840,Alabama,US,34.17805983,-85.60638968,1992,48,1019,3859.716899892358,22336.28310010764,86970.27771797632,Cherokee,236.0,231.48044692737432,0.0,52.98882681564246,26032,47.029485799,27.4,7172.0,7172.0,31.1,7057.0,33.2,3328.0,54.0,91.8,2021-08-02T00:00:00.000,31,5926.0,25.7,Low VC/Low-Mod SVI,5854,27.5,Low VC/Low-Mod SVI,2887,46.8,Low-Mod VC/Low-Mod SVI,22.6,Low VC/Low-Mod SVI,5926,Low-Mod
8,1021,Chilton,AL,84001021,US,USA,840,Alabama,US,32.85044126,-86.7173256,4771,117,1021,6905.516684607104,37522.483315392885,163678.5532831001,Chilton,250.0,242.36354961832058,0.0,50.54770992366412,44153,63.726498241,29.3,13012.0,13009.0,34.7,12609.0,37.3,4955.0,65.2,91.8,2021-08-02T00:00:00.000,31,9878.0,26.4,Low VC/High SVI,9698,28.7,Low VC/High SVI,4161,54.8,Mod-High VC/High SVI,22.2,Low VC/High SVI,9879,High
9,1025,Clarke,AL,84001025,US,USA,840,Alabama,US,31.68099859,-87.83548597,3712,63,1025,3576.767491926803,20045.2325080732,83857.34230355221,Clarke,261.0,249.0,0.0,44.200294550810014,23920,19.314926487,42.2,9966.0,9965.0,48.9,9728.0,52.3,3908.0,80.7,91.8,2021-08-02T00:00:00.000,31,7439.0,36.5,Low-Mod VC/High SVI,7343,39.5,Low-Mod VC/High SVI,3187,65.8,Mod-High VC/High SVI,31.5,Low-Mod VC/High SVI,7439,High
10,1029,Cleburne,AL,84001029,US,USA,840,Alabama,US,33.67679204,-85.52005899,1613,45,1029,1686.3832077502689,13223.616792249732,61469.313240043055,Cleburne,233.0,228.20491803278688,0.0,50.73224043715847,14987,26.757506743,25.8,3852.0,3852.0,30.3,3788.0,32.8,1714.0,57.0,91.8,2021-08-02T00:00:00.000,31,3166.0,24.9,Low VC/Mod-High SVI,3139,27.2,Low VC/Mod-High SVI,1490,49.5,Low-Mod VC/Mod-High SVI,21.2,Low VC/Mod-High SVI,3166,Mod-High
11,1031,Coffee,AL,84001031,US,USA,840,Alabama,US,31.39932826,-85.98901039,6365,132,1031,8335.335844994617,44006.66415500538,178949.96447793327,Coffee,272.0,263.01214574898785,0.0,41.121457489878544,51909,76.45075182,31.9,16698.0,16696.0,37.7,16173.0,40.5,6416.0,71.0,91.8,2021-08-02T00:00:00.000,31,13025.0,29.4,Low VC/Mod-High SVI,12779,32.0,Low-Mod VC/Mod-High SVI,5570,61.7,Mod-High VC/Mod-High SVI,24.9,Low VC/Mod-High SVI,13025,Mod-High
12,1033,Colbert,AL,84001033,US,USA,840,Alabama,US,34.69847452,-87.80168544,6703,142,1033,10746.914962325081,44494.08503767492,182170.39289558664,Colbert,233.0,228.73062730627305,0.0,50.40959409594096,54762,92.387121174,41.7,23063.0,23062.0,48.5,22349.0,51.2,8737.0,79.0,91.8,2021-08-02T00:00:00.000,31,18863.0,39.6,Low-Mod VC/Low-Mod SVI,18529,42.4,Mod-High VC/Low-Mod SVI,7652,69.2,Mod-High VC/Low-Mod SVI,34.1,Low-Mod VC/Low-Mod SVI,18863,Low-Mod
13,1035,Conecuh,AL,84001035,US,USA,840,Alabama,US,31.43401703,-86.99320044,1213,32,1035,1539.7586206896551,10527.241379310344,42673.29849137931,Conecuh,278.0,268.89502762430936,0.0,39.19060773480663,12277,14.440131364,38.7,4668.0,4668.0,44.7,4581.0,47.8,2006.0,70.8,91.8,2021-08-02T00:00:00.000,31,3377.0,32.3,Low-Mod VC/High SVI,3343,34.8,Low-Mod VC/High SVI,1529,54.0,Mod-High VC/High SVI,28.0,Low VC/High SVI,3377,High
