,State,Cases,Deaths
0,AK,73043,376
1,AL,571971,11092
2,AR,384306,6153
3,AZ,933361,18252
4,CA,3997633,64547
5,CO,572975,6879
6,CT,354967,8292
7,DE,111534,1833
8,FL,2566432,35998
9,GA,1089528,19908
10,HI,41815,534
11,IA,376807,6122
12,ID,202032,2203
13,IL,1279389,21227
14,IN,718131,12633
15,KS,333926,5261
16,KY,487862,7348
17,LA,479981,9549
18,MA,671412,18072
19,MD,373562,8015
20,ME,70715,900
21,MI,960265,20456
22,MN,596060,7353
23,MO,448337,5992
24,MS,326557,7273
25,MT,117033,1708
26,NC,1058887,13670
27,ND,111298,1522
28,NE,221235,2230
29,NH,100812,1386
30,NJ,1041642,26606
31,NM,207324,4414
32,NV,360147,5918
33,NY,2151529,53295
34,OH,1132798,20488
35,OK,474789,7485
36,OR,223364,2863
37,PA,1233461,27857
38,PR,137976,0
39,RI,141838,2731
40,SC,626038,9915
41,SD,123091,1996
42,TN,867694,12504
43,TX,3170849,53268
44,UT,326662,1678
45,VA,502735,8246
46,VT,25058,260
47,WA,479583,6124
48,WI,680893,8223
49,WV,167948,2949
50,WY,65704,776
