,FIPS_x,Admin2,State,UID,iso2,iso3,code3,Province_State,Country_Region,Lat,Long_,Cases,Deaths
0,01001,Autauga,AL,84001001,US,USA,840,Alabama,US,32.53952745,-86.64408227,4190,48
1,01003,Baldwin,AL,84001003,US,USA,840,Alabama,US,30.72774991,-87.72207058,13601,160
2,01005,Barbour,AL,84001005,US,USA,840,Alabama,US,31.868263,-85.3871286,1514,32
3,01007,Bibb,AL,84001007,US,USA,840,Alabama,US,32.99642064,-87.12511459999996,1834,46
4,01009,Blount,AL,84001009,US,USA,840,Alabama,US,33.98210918,-86.56790593,4641,63
5,01011,Bullock,AL,84001011,US,USA,840,Alabama,US,32.10030533,-85.71265535,859,20
6,01013,Butler,AL,84001013,US,USA,840,Alabama,US,31.75300095,-86.68057478,1508,45
7,01015,Calhoun,AL,84001015,US,USA,840,Alabama,US,33.77483727,-85.82630386,9494,155
8,01017,Chambers,AL,84001017,US,USA,840,Alabama,US,32.91360079,-85.39072749,2341,62
9,01019,Cherokee,AL,84001019,US,USA,840,Alabama,US,34.17805983,-85.60638968,1414,22
10,01021,Chilton,AL,84001021,US,USA,840,Alabama,US,32.85044126,-86.7173256,2970,54
11,01023,Choctaw,AL,84001023,US,USA,840,Alabama,US,32.02227341,-88.26564429999998,490,22
12,01025,Clarke,AL,84001025,US,USA,840,Alabama,US,31.68099859,-87.83548597,2390,25
13,01027,Clay,AL,84001027,US,USA,840,Alabama,US,33.26984193,-85.85836077,1141,34
14,01029,Cleburne,AL,84001029,US,USA,840,Alabama,US,33.67679204,-85.52005899,1026,16
15,01031,Coffee,AL,84001031,US,USA,840,Alabama,US,31.39932826,-85.98901039,3594,38
16,01033,Colbert,AL,84001033,US,USA,840,Alabama,US,34.69847452,-87.80168544,4660,60
17,01035,Conecuh,AL,84001035,US,USA,840,Alabama,US,31.43401703,-86.99320044,837,17
18,01037,Coosa,AL,84001037,US,USA,840,Alabama,US,32.93690146,-86.24847739,517,7
19,01039,Covington,AL,84001039,US,USA,840,Alabama,US,31.2477854,-86.45050893,2913,38
20,01041,Crenshaw,AL,84001041,US,USA,840,Alabama,US,31.72941803,-86.31593104,954,36
21,01043,Cullman,AL,84001043,US,USA,840,Alabama,US,34.13020303,-86.86888037,7079,76
22,01045,Dale,AL,84001045,US,USA,840,Alabama,US,31.43037123,-85.61095742,3325,63
23,01047,Dallas,AL,84001047,US,USA,840,Alabama,US,32.32688101,-87.10866709999998,2769,39
24,01051,Elmore,AL,84001051,US,USA,840,Alabama,US,32.59785413,-86.14415284,6435,82
25,01053,Escambia,AL,84001053,US,USA,840,Alabama,US,31.1256789,-87.15918694,2661,34
26,01055,Etowah,AL,84001055,US,USA,840,Alabama,US,34.04567266,-86.04051873,10031,90
27,01057,Fayette,AL,84001057,US,USA,840,Alabama,US,33.72076938,-87.73886638,1430,19
28,01059,Franklin,AL,84001059,US,USA,840,Alabama,US,34.44235334,-87.84289505,3270,36
29,01061,Geneva,AL,84001061,US,USA,840,Alabama,US,31.09389027,-85.83572839,1677,18
30,01063,Greene,AL,84001063,US,USA,840,Alabama,US,32.85504247,-87.95684022,672,20
31,01065,Hale,AL,84001065,US,USA,840,Alabama,US,32.76039258,-87.63284988,1440,33
32,01067,Henry,AL,84001067,US,USA,840,Alabama,US,31.51148016,-85.24267944,1247,8
33,01069,Houston,AL,84001069,US,USA,840,Alabama,US,31.15197924,-85.29939599,7279,63
34,01071,Jackson,AL,84001071,US,USA,840,Alabama,US,34.78144169,-85.99750489,5097,34
35,01073,Jefferson,AL,84001073,US,USA,840,Alabama,US,33.55554728,-86.89506300000002,52339,694
36,01075,Lamar,AL,84001075,US,USA,840,Alabama,US,33.77995024,-88.09668032,1056,15
37,01077,Lauderdale,AL,84001077,US,USA,840,Alabama,US,34.90171875,-87.65624729,6478,69
38,01079,Lawrence,AL,84001079,US,USA,840,Alabama,US,34.52041498,-87.31069453,2044,42
39,1081,Lee,AL,84001081,US,USA,840,Alabama,US,32.60154883,-85.35132246,10320,75
40,01083,Limestone,AL,84001083,US,USA,840,Alabama,US,34.81185586,-86.98310072,6822,56
41,01085,Lowndes,AL,84001085,US,USA,840,Alabama,US,32.1597283,-86.65158371,945,32
42,01087,Macon,AL,84001087,US,USA,840,Alabama,US,32.38759944,-85.69267724,999,30
43,01089,Madison,AL,84001089,US,USA,840,Alabama,US,34.76327133,-86.55069633,22197,178
44,01091,Marengo,AL,84001091,US,USA,840,Alabama,US,32.24767634,-87.78796182,1793,26
45,01093,Marion,AL,84001093,US,USA,840,Alabama,US,34.13697363,-87.88704173,2087,43
46,01095,Marshall,AL,84001095,US,USA,840,Alabama,US,34.36975964,-86.30486727,9189,84
47,01097,Mobile,AL,84001097,US,USA,840,Alabama,US,30.78472347,-88.20842409,25858,494
48,01099,Monroe,AL,84001099,US,USA,840,Alabama,US,31.56729412,-87.36995001,1215,11
49,01101,Montgomery,AL,84001101,US,USA,840,Alabama,US,32.2206831,-86.20969272,16116,273
50,01103,Morgan,AL,84001103,US,USA,840,Alabama,US,34.45500589,-86.85475946,10627,87
51,01105,Perry,AL,84001105,US,USA,840,Alabama,US,32.64048341,-87.29770589,867,9
52,01107,Pickens,AL,84001107,US,USA,840,Alabama,US,33.28094866,-88.08818103,1734,26
53,01109,Pike,AL,84001109,US,USA,840,Alabama,US,31.80396383,-85.9408295,2023,23
54,01111,Randolph,AL,84001111,US,USA,840,Alabama,US,33.29526734,-85.45708831,1245,30
55,01113,Russell,AL,84001113,US,USA,840,Alabama,US,32.28725256,-85.18415324,2793,6
56,01117,Shelby,AL,84001117,US,USA,840,Alabama,US,33.26879845,-86.66232561,15668,103
57,01119,Sumter,AL,84001119,US,USA,840,Alabama,US,32.59117397,-88.19916205,849,24
58,01121,Talladega,AL,84001121,US,USA,840,Alabama,US,33.37823223,-86.16886178,5165,74
59,01123,Tallapoosa,AL,84001123,US,USA,840,Alabama,US,32.86698258,-85.79833053,2368,98
60,01125,Tuscaloosa,AL,84001125,US,USA,840,Alabama,US,33.28726072,-87.52556818,18468,216
61,01127,Walker,AL,84001127,US,USA,840,Alabama,US,33.80270512,-87.30027177,5259,137
62,01129,Washington,AL,84001129,US,USA,840,Alabama,US,31.4092794,-88.20689944,1184,24
63,01131,Wilcox,AL,84001131,US,USA,840,Alabama,US,31.98773215,-87.30891118,883,19
64,01133,Winston,AL,84001133,US,USA,840,Alabama,US,34.15030532,-87.37325922,1968,30
65,02013,Aleutians East,AK,84002013,US,USA,840,Alaska,US,55.32222414,-161.9722021,39,0
66,02016,Aleutians West,AK,84002016,US,USA,840,Alaska,US,52.3233,-174.1596,198,0
67,02020,Anchorage,AK,84002020,US,USA,840,Alaska,US,61.14998174,-149.14269860000005,22922,119
68,02050,Bethel,AK,84002050,US,USA,840,Alaska,US,60.90980451,-159.8561831,2428,9
69,02060,Bristol Bay,AK,84002060,US,USA,840,Alaska,US,58.74513976,-156.701064,0,0
70,02068,Denali,AK,84002068,US,USA,840,Alaska,US,63.67264044,-150.0076108,60,0
71,02070,Dillingham,AK,84002070,US,USA,840,Alaska,US,59.79603738,-158.23819419999995,122,1
72,02090,Fairbanks North Star,AK,84002090,US,USA,840,Alaska,US,64.80726247,-146.5692662,4929,19
73,02100,Haines,AK,84002100,US,USA,840,Alaska,US,59.09893571,-135.4679843,22,0
74,02110,Juneau,AK,84002110,US,USA,840,Alaska,US,58.45031811,-134.200436,1050,5
75,02122,Kenai Peninsula,AK,84002122,US,USA,840,Alaska,US,60.24429722,-151.53888840000005,3627,17
76,02130,Ketchikan Gateway,AK,84002130,US,USA,840,Alaska,US,55.57445008,-130.975561,240,0
77,02150,Kodiak Island,AK,84002150,US,USA,840,Alaska,US,57.65529415,-153.7493579,914,2
78,02170,Matanuska-Susitna,AK,84002170,US,USA,840,Alaska,US,62.31305045,-149.5741743,6381,14
79,02180,Nome,AK,84002180,US,USA,840,Alaska,US,64.90320724,-164.0353804,275,0
80,02185,North Slope,AK,84002185,US,USA,840,Alaska,US,69.31479216,-153.4836093,806,2
81,02188,Northwest Arctic,AK,84002188,US,USA,840,Alaska,US,67.04919196,-159.7503946,401,0
82,02220,Sitka,AK,84002220,US,USA,840,Alaska,US,57.24124555,-135.3206587,270,0
83,02240,Southeast Fairbanks,AK,84002240,US,USA,840,Alaska,US,63.87692095,-143.2127643,408,3
84,02261,Valdez-Cordova,AK,84002261,US,USA,840,Alaska,US,61.47502768,-144.7126799,345,3
85,02282,Yakutat,AK,84002282,US,USA,840,Alaska,US,59.8909808,-140.36014509999998,52,1
86,02290,Yukon-Koyukuk,AK,84002290,US,USA,840,Alaska,US,65.50815459,-151.3907387,209,4
87,04001,Apache,AZ,84004001,US,USA,840,Arizona,US,35.39465006,-109.4892383,7438,231
88,04003,Cochise,AZ,84004003,US,USA,840,Arizona,US,31.87934684,-109.7516088,7480,126
89,04005,Coconino,AZ,84004005,US,USA,840,Arizona,US,35.83883429,-111.7707178,11126,208
90,04007,Gila,AZ,84004007,US,USA,840,Arizona,US,33.80190085,-110.8132779,4517,132
91,04009,Graham,AZ,84004009,US,USA,840,Arizona,US,32.93166885,-109.8882178,3228,50
92,04011,Greenlee,AZ,84004011,US,USA,840,Arizona,US,33.21498827,-109.2405279,400,3
93,04012,La Paz,AZ,84004012,US,USA,840,Arizona,US,33.72854224,-113.9810029,1464,33
94,04013,Maricopa,AZ,84004013,US,USA,840,Arizona,US,33.34835867,-112.4918154,318827,5051
95,04015,Mohave,AZ,84004015,US,USA,840,Arizona,US,35.70471703,-113.7577902,12573,335
96,04017,Navajo,AZ,84004017,US,USA,840,Arizona,US,35.3997715,-110.3218983,11296,335
97,04019,Pima,AZ,84004019,US,USA,840,Arizona,US,32.0971334,-111.7890033,69522,1039
98,04021,Pinal,AZ,84004021,US,USA,840,Arizona,US,32.90525627,-111.3449483,27649,357
99,04023,Santa Cruz,AZ,84004023,US,USA,840,Arizona,US,31.52508998,-110.8479088,6002,95
100,04025,Yavapai,AZ,84004025,US,USA,840,Arizona,US,34.59933926,-112.5538588,11319,213
101,04027,Yuma,AZ,84004027,US,USA,840,Arizona,US,32.76895712,-113.90666740000002,27366,510
102,05001,Arkansas,AR,84005001,US,USA,840,Arkansas,US,34.29145151,-91.37277296,1314,29
103,05003,Ashley,AR,84005003,US,USA,840,Arkansas,US,33.19153461,-91.7698471,1273,20
104,05005,Baxter,AR,84005005,US,USA,840,Arkansas,US,36.28784385,-92.33782872,2065,71
105,05007,Benton,AR,84005007,US,USA,840,Arkansas,US,36.33644656,-94.25680817,17758,263
106,05009,Boone,AR,84005009,US,USA,840,Arkansas,US,36.3084504,-93.09374925,2571,68
107,05011,Bradley,AR,84005011,US,USA,840,Arkansas,US,33.46755808,-92.15980837,940,11
108,05013,Calhoun,AR,84005013,US,USA,840,Arkansas,US,33.55598792,-92.49974403,234,1
109,05015,Carroll,AR,84005015,US,USA,840,Arkansas,US,36.34038560000001,-93.54270261,2073,30
110,05017,Chicot,AR,84005017,US,USA,840,Arkansas,US,33.26458973,-91.29539209,1410,29
111,05019,Clark,AR,84005019,US,USA,840,Arkansas,US,34.04613432,-93.17484713,1371,21
112,05021,Clay,AR,84005021,US,USA,840,Arkansas,US,36.36826212,-90.4148172,1317,30
113,05023,Cleburne,AR,84005023,US,USA,840,Arkansas,US,35.53864922,-92.02640019,1236,37
114,05025,Cleveland,AR,84005025,US,USA,840,Arkansas,US,33.89723187,-92.18537045,571,17
115,05027,Columbia,AR,84005027,US,USA,840,Arkansas,US,33.21230701,-93.22642793,1567,41
116,05029,Conway,AR,84005029,US,USA,840,Arkansas,US,35.26205537,-92.70506566,1306,15
117,05031,Craighead,AR,84005031,US,USA,840,Arkansas,US,35.83018283,-90.63235729,10077,136
118,05033,Crawford,AR,84005033,US,USA,840,Arkansas,US,35.58928601,-94.2446814,4451,58
119,05035,Crittenden,AR,84005035,US,USA,840,Arkansas,US,35.21247318,-90.30839406,4319,72
120,05037,Cross,AR,84005037,US,USA,840,Arkansas,US,35.29631396,-90.77185818,1394,36
121,05039,Dallas,AR,84005039,US,USA,840,Arkansas,US,33.97042763,-92.65167437,482,11
122,05041,Desha,AR,84005041,US,USA,840,Arkansas,US,33.83011025,-91.25500948,953,11
123,05043,Drew,AR,84005043,US,USA,840,Arkansas,US,33.59035001,-91.71777921,1448,18
124,05045,Faulkner,AR,84005045,US,USA,840,Arkansas,US,35.14719007,-92.33717519,7618,92
125,05047,Franklin,AR,84005047,US,USA,840,Arkansas,US,35.51202821,-93.89299569,1088,25
126,05049,Fulton,AR,84005049,US,USA,840,Arkansas,US,36.38177105,-91.81729127,884,34
127,05051,Garland,AR,84005051,US,USA,840,Arkansas,US,34.57692074,-93.14921604,5782,152
128,05053,Grant,AR,84005053,US,USA,840,Arkansas,US,34.29017991,-92.42320562,1071,11
129,05055,Greene,AR,84005055,US,USA,840,Arkansas,US,36.11735460000001,-90.55832668,4431,51
130,05057,Hempstead,AR,84005057,US,USA,840,Arkansas,US,33.73325583,-93.66935133,1220,11
131,05059,Hot Spring,AR,84005059,US,USA,840,Arkansas,US,34.31709259,-92.95396325,3636,55
132,05061,Howard,AR,84005061,US,USA,840,Arkansas,US,34.09007427,-93.9934871,1106,18
133,05063,Independence,AR,84005063,US,USA,840,Arkansas,US,35.74242707,-91.57001641,2751,93
134,05065,Izard,AR,84005065,US,USA,840,Arkansas,US,36.09604046,-91.90847954,1298,12
135,05067,Jackson,AR,84005067,US,USA,840,Arkansas,US,35.59802983,-91.21494602,2821,21
136,05069,Jefferson,AR,84005069,US,USA,840,Arkansas,US,34.26767081,-91.92619839,6718,127
137,05071,Johnson,AR,84005071,US,USA,840,Arkansas,US,35.56759135,-93.46036368,1823,20
138,05073,Lafayette,AR,84005073,US,USA,840,Arkansas,US,33.24116713,-93.60677071,342,4
139,05075,Lawrence,AR,84005075,US,USA,840,Arkansas,US,36.04188196,-91.10867198,1574,35
140,05077,Lee,AR,84005077,US,USA,840,Arkansas,US,34.78498904,-90.78383866,1430,26
141,05079,Lincoln,AR,84005079,US,USA,840,Arkansas,US,33.95317155,-91.74002806,2820,24
142,05081,Little River,AR,84005081,US,USA,840,Arkansas,US,33.70375665,-94.23468591,821,38
143,05083,Logan,AR,84005083,US,USA,840,Arkansas,US,35.21413234,-93.71951016,1419,11
144,05085,Lonoke,AR,84005085,US,USA,840,Arkansas,US,34.75392199,-91.88742357,4133,78
145,05087,Madison,AR,84005087,US,USA,840,Arkansas,US,36.01038185,-93.72524943,1025,12
146,05089,Marion,AR,84005089,US,USA,840,Arkansas,US,36.26844485,-92.68451899,629,23
147,05091,Miller,AR,84005091,US,USA,840,Arkansas,US,33.31403423,-93.89285258,2749,25
148,05093,Mississippi,AR,84005093,US,USA,840,Arkansas,US,35.76271485,-90.05194370000002,4393,93
149,05095,Monroe,AR,84005095,US,USA,840,Arkansas,US,34.6815935,-91.20540287,475,7
150,05097,Montgomery,AR,84005097,US,USA,840,Arkansas,US,34.53704874,-93.65824478,492,18
151,05099,Nevada,AR,84005099,US,USA,840,Arkansas,US,33.66340119,-93.30632432,594,20
152,05101,Newton,AR,84005101,US,USA,840,Arkansas,US,35.91947491,-93.21612969,553,24
153,05103,Ouachita,AR,84005103,US,USA,840,Arkansas,US,33.58839816,-92.87795984,1370,26
154,05105,Perry,AR,84005105,US,USA,840,Arkansas,US,34.9459153,-92.94372564,438,5
155,05107,Phillips,AR,84005107,US,USA,840,Arkansas,US,34.43268455,-90.84800154,1264,25
156,05109,Pike,AR,84005109,US,USA,840,Arkansas,US,34.16250414,-93.65789349,685,10
157,05111,Poinsett,AR,84005111,US,USA,840,Arkansas,US,35.57433534,-90.66268713,2406,61
158,05113,Polk,AR,84005113,US,USA,840,Arkansas,US,34.48254879,-94.22728802,1255,38
159,05115,Pope,AR,84005115,US,USA,840,Arkansas,US,35.44871474,-93.03212219,5448,55
160,05117,Prairie,AR,84005117,US,USA,840,Arkansas,US,34.83624419,-91.55162157,545,15
161,05119,Pulaski,AR,84005119,US,USA,840,Arkansas,US,34.77054088,-92.31355101,24662,384
162,05121,Randolph,AR,84005121,US,USA,840,Arkansas,US,36.3415714,-91.02455531,1455,41
163,05125,Saline,AR,84005125,US,USA,840,Arkansas,US,34.64916145,-92.67583224,7563,102
164,05127,Scott,AR,84005127,US,USA,840,Arkansas,US,34.85588887,-94.0632176,588,11
165,05129,Searcy,AR,84005129,US,USA,840,Arkansas,US,35.9109364,-92.69936482,503,11
