,State,Cases,Deaths
0,AK,45698,199
1,AL,347859,4643
2,AR,219591,3617
3,AZ,520207,8718
4,CA,2291007,25334
5,CO,331266,4687
6,CT,185043,5964
7,DE,57320,921
8,FL,1290057,20976
9,GA,600131,9970
10,HI,21459,283
11,IA,279429,3769
12,ID,141076,1403
13,IL,867364,16132
14,IN,474686,7226
15,KS,225440,2668
16,KY,265261,2623
17,LA,274272,6422
18,MA,357137,12329
19,MD,217162,4596
20,ME,24200,334
21,MI,494234,12671
22,MN,402320,5062
23,MO,251946,3246
24,MS,201097,4610
25,MT,81555,950
26,NC,539463,6729
27,ND,92026,1266
28,NE,165547,1605
29,NH,43145,741
30,NJ,476303,18952
31,NM,139504,2436
32,NV,224731,3063
33,NY,976667,37548
34,OH,700380,8855
35,OK,290700,2453
36,OR,113909,1468
37,PA,645390,15665
38,PR,71093,0
39,RI,78327,1725
40,SC,307507,5249
41,SD,97237,1429
42,TN,553641,6631
43,TX,1764881,27552
44,UT,212017,911
45,VA,254933,3741
46,VT,7403,134
47,WA,245263,3416
48,WI,513891,5164
49,WV,85334,1318
50,WY,44409,405
